,XIST_pos_female_normals,XIST_neg_male_normals,SARC,PAAD,THCA,LUAD,LIHC,LAML,LUSC,LGG,STAD,READ,DLBC,GBM,COAD,TGCT-NS,PRAD,ESCA,KIRC,PCPG,UVM,BRCA,ACC,BLCA,TGCT-S,KICH,HNSC,TGCT-U,KIRP,SKCM,THYM,MESO,CHOL
ENSG00000185973.10,10.16883516,9.229671418,7.609337684,7.640854708,7.58308477,5.629549987,7.212425716,17.94024212,8.924540612,10.9859259,10.21222062,12.21858001,5.65373498,10.01959414,12.32849936,8.986264553,2.081258231,11.00061389,11.08382353,7.156262863,6.026673129,9.234369065,7.755175933,7.855452984,3.298780347,12.28848814,7.988693024,12.4312546,9.148307237,9.012960336,6.931652664,7.056088284,6.78977018
ENSG00000005893.15,91.68375252,103.0685708,100.4362018,79.62833434,98.65966187,96.75622508,151.5555785,108.0056884,114.4089356,107.4191927,82.95387646,79.00035625,37.83723848,134.0722296,71.73494768,46.56816172,131.5669878,119.6298137,126.6899931,65.18391308,61.93878324,117.12599,66.89411368,57.9881005,31.51191773,126.7120287,104.2292221,78.29238025,99.90278286,150.054801,78.10666466,70.75436141,149.3932986
ENSG00000102218.5,7.189742248,6.914172551,8.929192326,6.732409099,4.48971392,7.541559356,3.116677674,21.82295231,7.131262167,7.798765353,10.01717337,10.8697607,5.967402088,11.41797214,9.192211989,5.815122089,4.913132249,11.48850434,10.04399612,4.272575542,1.348274616,7.383589001,6.735201385,5.658250388,3.215011144,5.001568282,5.819021726,9.561255018,5.006133887,6.117635435,4.017108234,6.027471027,5.565436365
ENSG00000130962.17,5.902381883,5.920686676,6.891720828,5.600972548,7.385328503,2.348818634,2.007002903,0.919260534,1.719972186,8.463639359,5.573138356,6.537539565,0.318273421,4.834629385,5.492006574,1.863357553,1.942224014,4.777772979,5.752674224,1.355558453,1.548960786,2.249329846,2.976498263,3.097280855,3.226059154,10.9861751,2.944428786,2.590983809,5.658745071,4.74446209,1.031326685,4.804936844,3.384751845
ENSG00000126953.5,4.302493095,4.263299022,5.63886085,4.12495634,3.816937321,6.714392104,9.758753385,8.333859203,9.393361833,5.853087556,6.098090399,11.06717636,10.77010642,5.992929824,10.61946404,16.60524914,5.18316029,7.641321018,4.048479036,3.85211551,4.31169756,5.642719625,5.079351281,7.464377458,11.32792638,7.066912788,8.320787199,10.12114075,4.2600933,8.011706536,8.468119088,5.561111771,5.361651856
ENSG00000171365.15,4.930127038,9.072963034,4.563904784,2.3335803,1.081228025,2.0359372,3.4370865,3.151220527,2.45963429,1.767989562,4.236611882,4.089854071,1.00054905,1.854665303,3.80505111,3.984522035,1.309030045,4.003707848,9.900289994,5.779926893,1.812140338,1.474327262,2.787155831,1.589269882,1.306491169,8.448249151,1.708319422,3.861068099,14.27882525,6.139865682,1.533259651,2.50127396,2.886638288
ENSG00000147130.14,10.69744517,9.706448507,10.88799178,8.754096387,14.70230459,13.49855344,6.406547241,33.88782575,11.2363383,19.01708464,11.45360092,10.31891895,7.476913869,16.68974532,10.23522671,32.81029236,12.53603779,13.68391234,9.268654349,10.30821242,12.04669784,12.39593156,15.44458251,9.708265968,20.15306919,6.881819243,7.193795977,41.74119504,10.45117801,15.93791986,14.51416998,13.25180626,10.09727
ENSG00000102100.14,19.28877953,20.46845684,28.11062058,32.35364697,19.28375348,39.70343724,19.53179891,12.54733167,35.48362629,17.94766755,32.78628786,40.86852935,13.94605753,25.81075631,38.64171203,27.63975731,28.19315485,29.55100631,18.9532844,18.26708916,17.45739394,39.26951992,21.56585416,37.03505242,49.03433803,21.73609908,28.12841386,44.56070028,21.73105357,31.05545061,13.55586894,32.28329374,37.00229231
ENSG00000147144.12,6.00140887,6.326061007,2.902522024,8.292441294,7.547419683,7.938558308,2.547103397,5.669918466,7.030829252,5.844306451,10.62732339,8.844026006,1.546892289,3.311708597,9.147494834,8.288060801,7.542760989,15.14318921,3.137197119,2.967795391,3.225324052,8.440171133,1.547771376,10.06089001,6.743800384,3.184788903,8.904970309,8.880863753,6.189885562,3.440396283,6.083916042,8.684939864,7.477867728
ENSG00000101966.12,13.50336312,12.86977034,13.62427877,14.64665819,18.02375627,15.38007794,8.745990744,13.63449315,11.88443481,17.6208367,16.61715258,17.19713453,9.489142142,16.27004245,16.49554651,20.46044816,15.56242084,16.83310348,11.68024552,16.32362017,5.663963795,20.75766242,11.74482703,15.18770454,14.21338405,14.5052825,13.29941235,18.70043598,11.68439069,9.93558275,15.12206229,11.43071894,12.40037224
