sample,chrX_non_escaping_promoter_CpG_islands_median_beta,autosome_median_beta,XIST_TPM,Classification,Secondary_Class
TCGA-33-4566-01,0.039003344,0.07197444,0.000999989,LUSC,
TCGA-DX-A6YV-01,0.039951514,0.055197413,0.811014717,SARC,
TCGA-2Z-A9JQ-01,0.03056297,0.050820886,0.000999989,KIRP,
TCGA-HQ-A2OE-01,0.0356962,0.059388357,0.160996363,BLCA,
TCGA-MH-A857-01,0.042645765,0.061676564,0.090999347,KIRP,
TCGA-CD-5799-01,0.051093621,0.083029843,0.061001985,STAD,
TCGA-M7-A720-01,0.045731015,0.075886527,0.171003766,PRAD,
TCGA-A6-6138-01,0.042106554,0.071398285,0.000999989,COAD,
TCGA-ZB-A96Q-01,0.032168595,0.060933106,0.501006074,THYM,
TCGA-56-1622-01,0.01479126,0.048773768,0.000999989,LUSC,
TCGA-S7-A7WX-01,0.038504193,0.052977625,0.041000917,PCPG,
TCGA-14-1825-01,0.010959219,0.034801569,0.471000338,GBM,
TCGA-P5-A72X-01,0.036234666,0.068121304,0.041000917,LGG,
TCGA-J9-A52C-01,0.039701122,0.079205615,0.280991813,PRAD,
TCGA-A3-3387-01,0.038698668,0.074385065,0.010999639,KIRC,
TCGA-G3-A25Z-01,0.041362241,0.072899838,0.041000917,LIHC,
TCGA-B2-5639-01,0.040390853,0.070041711,0.000999989,KIRC,
TCGA-DD-A4NP-01,0.044037083,0.067142874,0.000999989,LIHC,
TCGA-XV-A9W5-01,0.034954285,0.055423914,0.311002913,SKCM,
TCGA-BF-AAP4-01,0.038149874,0.069969937,0.181004817,SKCM,
TCGA-GS-A9TU-01,0.038789256,0.074495417,0.050998549,DLBC,
TCGA-BH-A0DD-01,0.034854039,0.062043568,0.000999989,BRCA,
TCGA-EB-A6QY-01,0.035584836,0.060714631,0.260996072,SKCM,
TCGA-DQ-7589-01,0.034909131,0.071087596,0.000999989,HNSC,
TCGA-BQ-5881-01,0.039422648,0.070230894,0.041000917,KIRP,
TCGA-GL-A4EM-01,0.041205461,0.071507184,0.27100662,KIRP,
TCGA-G9-6351-01,0.036742151,0.064812126,0.171003766,PRAD,
TCGA-HU-8608-01,0.046693773,0.276137243,0.000999989,STAD,
TCGA-EM-A4FO-01,0.034486864,0.067492158,0.160996363,THCA,
TCGA-KL-8344-01,0.041358401,0.066733423,0.000999989,KICH,
TCGA-CV-A468-01,0.048945706,0.084060603,0.100998096,HNSC,
TCGA-BR-6706-01,0.047775596,0.196481033,0.181004817,STAD,
TCGA-HC-7233-01,0.037930078,0.071339391,0.081001925,PRAD,
TCGA-E7-A85H-01,0.035938396,0.057494829,0.090999347,BLCA,
TCGA-DQ-5631-01,0.054814709,0.086990788,0.000999989,HNSC,
TCGA-CZ-4860-01,0.027091149,0.08155158,0.130996484,KIRC,
TCGA-EJ-7782-01,0.039987312,0.069932554,0.000999989,PRAD,
TCGA-56-A4BW-01,0.051955427,0.074724802,0.000999989,LUSC,
TCGA-ED-A97K-01,0.036688605,0.066736651,0.000999989,LIHC,
TCGA-EE-A2MG-06,0.042750319,0.072979036,0.000999989,SKCM,
TCGA-2J-AABF-01,0.042510752,0.069990996,0.421002294,PAAD,
TCGA-UZ-A9PR-01,0.035954244,0.049708445,0.010999639,KIRP,
TCGA-ZB-A96F-01,0.035187743,0.058929135,0.020999518,THYM,
TCGA-KK-A8IC-01,0.034233309,0.055998553,0.041000917,PRAD,
TCGA-85-8584-01,0.040749327,0.077724164,0.11099757,LUSC,
TCGA-EM-A2CL-01,0.032217881,0.059445559,0.160996363,THCA,
TCGA-CV-6951-01,0.035641453,0.063731284,0.000999989,HNSC,
TCGA-98-A53D-01,0.037376624,0.066359146,1.44102963,LUSC,
