sample,chrX_non_escaping_promoter_CpG_islands_mean_beta,autosome_mean_beta,XIST_TPM,Classification,Secondary_Class
TCGA-D8-A1XG-01,0.479074049,0.080191066,194.6582932,BRCA,
TCGA-HT-A74K-01,0.316657105,0.081712605,76.00908699,LGG,
TCGA-B0-5693-01,0.418367202,0.067333757,157.5318791,KIRC,
TCGA-D8-A1JH-01,0.410712982,0.096731293,98.70149283,BRCA,
TCGA-SS-A7HO-01,0.267590688,0.082099478,6.061185516,COAD,
TCGA-VS-A8EL-01,0.464584076,0.090271684,170.012852,CESC,
TCGA-XM-A8RE-01,0.357655978,0.06181994,343.0083769,THYM,
TCGA-AB-2966-03,0.508524169,0.176515781,419.6957373,LAML,
TCGA-C5-A1MQ-01,0.482716704,0.120969754,204.7755984,CESC,
TCGA-QC-AA9N-01,0.282311592,0.064705619,11.17110505,SARC,
TCGA-AQ-A04J-01,0.473217575,0.068545015,100.9641985,BRCA,
TCGA-A5-A7WK-01,0.404481502,0.05538383,109.0616442,UCEC,
TCGA-C4-A0EZ-01,0.367089047,0.069150329,429.0494129,BLCA,
TCGA-E2-A1LK-01,0.423580872,0.06842883,75.33247376,BRCA,
TCGA-NA-A4QX-01,0.478748641,0.06178283,78.61866713,UCS,
TCGA-DU-8167-01,0.446134658,0.100329579,88.75152474,LGG,
TCGA-50-6593-01,0.373757037,0.122739431,14.72096151,LUAD,
TCGA-E9-A243-01,0.391042351,0.082921982,96.95880414,BRCA,
TCGA-DK-AA76-01,0.301348819,0.053383742,96.34914774,BLCA,
TCGA-XV-AAZV-01,0.344922718,0.064580432,78.39012387,SKCM,
TCGA-JW-A5VI-01,0.297637527,0.080269508,19.58123698,CESC,
TCGA-LB-A9Q5-01,0.342125314,0.064972129,22.41045445,PAAD,
TCGA-CS-5390-01,0.405313034,0.125131342,113.0878401,LGG,
TCGA-24-1843-01,0.362073768,0.044723758,22.82115651,OV,
TCGA-HZ-7924-01,0.401838046,0.077415495,66.75944241,PAAD,
TCGA-BP-4325-01,0.398738866,0.075154641,199.5352741,KIRC,
TCGA-A1-A0SI-01,0.373386553,0.065989255,65.22259783,BRCA,
TCGA-A2-A0T2-01,0.218660957,0.062280425,3.081002814,BRCA,
TCGA-BQ-7050-01,0.431847682,0.06368181,67.86049272,KIRP,
TCGA-PN-A8MA-01,0.404428897,0.066524592,202.7137304,CESC,
TCGA-E2-A1IO-01,0.340933402,0.064440237,49.88036095,BRCA,
TCGA-CE-A483-01,0.42719265,0.061543426,321.0824498,THCA,
TCGA-DD-AADY-01,0.43414495,0.077506626,66.41328706,LIHC,
TCGA-55-7574-01,0.415881582,0.128071141,143.5192056,LUAD,
TCGA-B6-A0WW-01,0.454413714,0.084953606,53.9817559,BRCA,
TCGA-FE-A234-01,0.339754369,0.060740088,165.5243896,THCA,
TCGA-ET-A3DV-01,0.233757665,0.069936047,74.78100734,THCA,
