sample,NE_median_gene_level_ratio,E_median_gene_level_ratio,autosome_median_gene_level_ratio,ratio_ne_e,ratio_ne_a,ratio_e_a,XIST_TPM,Classification,Secondary_Class
TCGA-2G-AAGI-09,0.758056988,0.942837052,1,0.804016968,0.758056988,0.942837052,239.683475,TGCT,TGCT-NS
TCGA-2G-AAKM-01,0.625885398,0.703563624,0.836690346,0.889593175,0.748049026,0.840888899,45.97252494,TGCT,TGCT-NS
TCGA-2G-AAG7-01,0.861425756,1.288713423,1,0.668438569,0.861425756,1.288713423,244.6032903,TGCT,TGCT-NS
TCGA-BC-4073-01,0.885383172,0.823610195,1,1.075002686,0.885383172,0.823610195,32.37032623,LIHC,
TCGA-2Y-A9HA-01,0.87228163,0.932720451,0.965827769,0.93520157,0.903144078,0.965721302,7.940886087,LIHC,
TCGA-RG-A7D4-01,0.922179898,0.795888899,0.807739371,1.158679181,1.141680016,0.985328842,3.40109664,LIHC,
TCGA-RC-A6M6-01,0.80452321,0.748640983,0.873464129,1.074644894,0.921071837,0.857094136,4.510852149,LIHC,
TCGA-G3-A7M9-01,1.425021659,1.835676688,1,0.77629229,1.425021659,1.835676688,136.9399898,LIHC,
TCGA-DD-A4NV-01,1.076228557,0.771603212,0.922179898,1.39479533,1.167048381,0.836716582,6.750994296,LIHC,
TCGA-DD-AADD-01,0.91203027,0.672395761,0.922179898,1.356389083,0.988993874,0.7291373,10.65087462,LIHC,
TCGA-ED-A7PZ-01,0.621470616,0.692914398,0.69581573,0.896893783,0.893154019,0.995830316,3.880923513,LIHC,
TCGA-DD-AACG-01,0.347888976,0.321399529,0.494285903,1.08241906,0.703821359,0.650230013,88.6592959,LIHC,
TCGA-5C-AAPD-01,1.191378515,1.105491022,0.7476285,1.077691715,1.593543471,1.478663564,7.201013642,LIHC,
TCGA-CC-A8HT-01,0.906348211,0.810465011,1,1.118306403,0.906348211,0.810465011,3.331103084,LIHC,
