sample,median_of_rounded_avg_modal_copies_per_chr,median_of_unrounded_avg_modal_copies_per_chr
TCGA-D3-A8GQ-06,2,2.0019526
TCGA-UZ-A9PR-01,2,2
TCGA-23-1021-01,2,1.626206659
TCGA-B0-5698-01,2,2
TCGA-HT-7482-01,2,2
TCGA-05-4425-01,2,2
TCGA-02-0021-01,2,2
TCGA-CV-A45Q-01,2,2
TCGA-78-7158-01,2,2
TCGA-EM-A4FR-01,2,2
TCGA-DW-7837-01,2,2
TCGA-AA-3538-01,2,2
TCGA-AB-2938-03,2,2.000076064
TCGA-L5-A8NI-01,2,1.747024281
TCGA-EJ-7330-01,2,1.999280294
TCGA-N6-A4VF-01,2,2
TCGA-EL-A3MX-01,2,2
TCGA-D8-A27I-01,2,2
TCGA-AA-3864-01,2,2
TCGA-06-0164-01,2,2
TCGA-78-7162-01,2,2
TCGA-E7-A3Y1-01,2,2
TCGA-G9-6329-01,2,2
TCGA-P5-A5EY-01,2,2
TCGA-61-2002-01,2,1.954291937
TCGA-HC-A631-01,2,1.996319317
TCGA-AB-2834-03,2,2
TCGA-FV-A23B-01,2,2
TCGA-4V-A9QM-01,2,2
TCGA-XJ-A9DX-01,2,2.335742282
TCGA-02-0006-01,2,2
TCGA-BJ-A2N8-01,2,2
TCGA-A3-3346-01,2,1.849043012
TCGA-EX-A69L-01,2,2
TCGA-GF-A3OT-01,2,2
TCGA-ET-A2MY-01,2,2
TCGA-BT-A42B-01,2,1.957433333
TCGA-ZC-AAAH-01,2,2
TCGA-E2-A1L7-01,2,1.877135543
TCGA-AB-2956-03,2,2
TCGA-C5-A1BK-01,2,2
TCGA-05-4422-01,2,2
TCGA-S9-A6TX-01,2,2
TCGA-CN-6012-01,2,1.642689883
TCGA-D3-A2J6-06,2,1.972593625
TCGA-DD-AADP-01,2,2
TCGA-EE-A29S-06,2,2
TCGA-C5-A7UI-01,2,1.993748736
TCGA-ZJ-AB0I-01,2,2.049349147
TCGA-39-5024-01,2,2
TCGA-BR-7957-01,2,2
TCGA-HC-7745-01,2,2
TCGA-AK-3454-01,2,2
TCGA-DU-5853-01,2,2
TCGA-FV-A3I1-01,2,2
TCGA-MP-A4SW-01,2,2.000242317
TCGA-HU-A4G2-01,2,2
TCGA-06-5412-01,2,2
TCGA-BP-4167-01,2,2
TCGA-61-2610-02,2,1.7890606
TCGA-3Z-A93Z-01,2,2
TCGA-CJ-4892-01,2,2
TCGA-QQ-A8VF-01,2,2.115909049
TCGA-AG-3594-01,2,2
TCGA-06-0745-01,2,2
TCGA-G4-6323-01,2,2
TCGA-AP-A0LP-01,2,2
TCGA-55-6987-01,2,2
TCGA-FD-A5C1-01,2,1.935908493
TCGA-XF-AAN4-01,2,2.001414575
